ID,NAME,NAME_DE,IMAGE,Aptitudes,Description,Descritpion_DE,Talents,AName,ADesc,ANameDe,ADescDe
reclaimator,Reclaimator,Restaurator,reclaimator.png,"Tech, Knowledge, Fellowship or Agility, Fieldcraft, Social","A reclaimator is a scavenger and technician specializing in salvaging, repairing, and repurposing lost or discarded technology. Often found on industrial worlds or within hive cities, reclaimators sift through ruins and wreckage to recover valuable resources, breathing new life into the discarded remnants of the Imperium's vast infrastructure.","Ein Restaurator ist ein Plünderer und Techniker, der sich auf die Bergung, Reparatur und Wiederverwendung von verlorener oder weggeworfener Technologie spezialisiert hat. Oft auf Industrieplaneten oder in Makropolen anzutreffen, durchsuchen Restauratoren Ruinen und Trümmer, um wertvolle Ressourcen wiederzugewinnen und den Überresten der gewaltigen Infrastruktur des Imperiums neues Leben einzuhauchen.",Technical Knock or Rapid Reload,Mechanical Expertise,"In addition to the normal uses of Fate Points, a Reclaimator character may spend a Fate point to automatically succeed at a Security, Tech-Use, or Trade (Technomat) skill test with a number of degrees of success equal to his Intelligence bonus.",Mechanisches Fachwissen,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Restaurator einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Sicherheit, Technisches Wissen oder Handwerk (Technomat) mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Intelligenzbonus entspricht."
sage,Sage,Weiser,sage.png,"Intelligence, Knowledge, Perception, Tech, Willpower","A sage is a scholar and keeper of knowledge, deeply versed in history, science, and esoteric lore. They dedicate their lives to studying, preserving, and interpreting information, often serving as advisors or researchers. Their expertise makes them invaluable in unraveling mysteries, solving problems, and providing wisdom to those who seek it.","Ein Weiser ist ein Gelehrter und Bewahrer von Wissen, tief vertraut mit Geschichte, Wissenschaft und esoterischen Lehren. Sie widmen ihr Leben dem Studium, der Bewahrung und der Interpretation von Informationen und dienen oft als Berater oder Forscher. Ihre Expertise macht sie unverzichtbar beim Entschlüsseln von Geheimnissen, Lösen von Problemen und Bereitstellen von Weisheit für diejenigen, die sie suchen.",Ambidextrous or Clues from the Crowds,Quest for Knowledge,"In addition to the normal uses of Fate points, a Sage character may spend a Fate point to automatically succeed at a Logic or any Lore skill test with a number of degrees of success equal to his Intelligence bonus.",Streben nach Wissen,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Weiser-Charakter einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Logik oder einer beliebigen Wissensfertigkeit mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Intelligenzbonus entspricht."
scavenger,Scavenger,Plünderer,scavenger.png,"Strength, Toughness, Weapon Skill, Ballistic Skill, Fieldcraf","A scavenger is a resourceful individual who survives by salvaging discarded materials, remnants of war, or abandoned technology. Skilled at finding value in what others deem useless, they thrive in desolate environments, using ingenuity and determination to turn scraps into tools or trade goods.","Ein Plünderer ist eine einfallsreiche Person, die durch das Bergen von weggeworfenen Materialien, Kriegsüberresten oder verlassener Technologie überlebt. Geschickt darin, in Dingen, die andere für wertlos halten, Nutzen zu finden, gedeiht er in trostlosen Umgebungen und nutzt Einfallsreichtum und Entschlossenheit, um Schrott in Werkzeuge oder Handelswaren zu verwandeln.",Die Hard or Jaded,Evasive,"Once per round, after performing a ranged Standard Attack, a Scavenger character may perform a single Dive for Cover action as a Free Action.",Ausweichend,"Einmal pro Runde kann ein Plünderer nach der Durchführung eines Standardangriffs mit einer Fernkampfwaffe eine einzelne Aktion ""In Deckung werfen"" als freie Aktion ausführen."
scholariate,Scholariate,Scholariat,scholariate.png,"Knowledge, Intelligence, Social, Fellowship, Perception","The scholariate refers to a group or individual dedicated to academic or intellectual pursuits, often associated with the study of history, philosophy, and esoteric knowledge. They are the keepers of knowledge and lore, tasked with preserving, analyzing, and expanding humanity’s understanding of the universe and its past.","Das Scholariat bezeichnet eine Gruppe oder Einzelperson, die sich akademischen oder intellektuellen Tätigkeiten widmet, oft verbunden mit dem Studium von Geschichte, Philosophie und esoterischem Wissen. Sie sind die Hüter des Wissens und der Überlieferung und haben die Aufgabe, das Verständnis der Menschheit für das Universum und seine Vergangenheit zu bewahren, zu analysieren und zu erweitern.",Clues from the Crowds or Jaded,Unfazeable,"In addition to the normal uses of Fate Points, a Scholariate character may spend a Fate Point to negate Insanity Points or Corruption Points from profane sources or lore.",Unerschütterlich,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Scholariat-Charakter einen Schicksalspunkt ausgeben, um Wahnsinnspunkte oder Verderbnispunkte aus unheiligen Quellen oder Wissen zu negieren."
scout,Scout,Späher,scout.png,"Fieldcraft, Finesse, Intelligence, Ballistic Skill, Perception","A scout is a highly mobile and observant individual skilled in reconnaissance, tracking, and navigating difficult terrain. Operating ahead of the main force, they gather intelligence, identify threats, and find optimal paths for movement, often relying on stealth and survival skills to accomplish their mission.","Ein Späher ist eine hochbewegliche und aufmerksame Person, die sich auf Aufklärung, Verfolgung und die Navigation durch schwieriges Gelände spezialisiert hat. Sie operieren vor der Hauptstreitmacht, sammeln Informationen, identifizieren Bedrohungen und finden optimale Wege für die Bewegung, wobei sie sich oft auf Heimlichkeit und Überlebensfähigkeiten verlassen, um ihre Mission zu erfüllen",Nowhere to Hide or Leap Up,Pathfinder,"In addition to the normal use of Fate Points, a Scout character may spend a Fate Point to automatically pass a Survival or Stealth test with a number of degrees of success equal to his Agility Bonus.",Pfadfinder,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Späher einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Überleben oder Schleichen zu bestehen, mit einer Anzahl von Erfolgsgraden, die seinem Beweglichkeitsbonus entspricht."
secutor,Secutor,Secutor,secutor.png,"Toughness, Ballistic Skill, Weapon Skill, Fieldcraft or Finesse, Perception","A secutor is a warrior-priest of the Adeptus Mechanicus, trained in both martial and technological disciplines. Tasked with leading military campaigns or defending Mechanicus interests, they are highly skilled in the art of war and often equipped with advanced weaponry and cybernetic augmentations.","Ein Secutor ist ein Kriegerpriester des Adeptus Mechanicus, ausgebildet sowohl in kriegerischen als auch technologischen Disziplinen. Mit der Aufgabe betraut, militärische Kampagnen zu führen oder die Interessen des Mechanicus zu verteidigen, sind sie hochqualifiziert in der Kriegsführung und oft mit fortschrittlicher Bewaffnung und kybernetischen Verbesserungen ausgestattet.",Ambidextrous or Jaded,Devastating Precision,"In addition to the normal uses of Fate Points, when a Secutor successfully hits with an attack, he may spend a Fate Point to decrease an opponent's Toughness Bonus equal to his degrees of Success on the attack roll on the first hit the attack inflicts.",Verheerende Präzision,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Secutor, wenn er mit einem Angriff erfolgreich trifft, einen Schicksalspunkt ausgeben, um den Zähigkeitsbonus seines Gegners um eine Anzahl zu verringern, die seinen Erfolgsgraden beim Angriffswurf entspricht, und zwar nur für den ersten Treffer des Angriffs."
seeker,Seeker,Suchender,seeker.png,"Fellowship, Intelligence, Perception, Social, Tech","A seeker is an individual driven by an insatiable thirst for knowledge, truth, or hidden treasures. Whether pursuing ancient artifacts, uncovering lost histories, or solving mysteries, they are relentless in their quest, often willing to venture into danger and face the unknown to achieve their goals.","Ein Suchender ist eine Person, die von einem unstillbaren Durst nach Wissen, Wahrheit oder verborgenen Schätzen angetrieben wird. Ob sie alte Artefakte suchen, verlorene Geschichten aufdecken oder Rätsel lösen, sie sind unermüdlich in ihrer Suche und oft bereit, Gefahren zu trotzen und das Unbekannte zu konfrontieren, um ihre Ziele zu erreichen.",Keen Intuition or Disarm,Nothing Escapes My Sight,"In addition to the normal uses of Fate points, a Seeker character may spend a Fate point to automatically succeed at an Awareness or Inquiry skill test with a number of degrees of success equal to his Perception bonus",Nichts entgeht meinem Blick,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Suchender-Charakter einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Wahrnehmung oder Nachforschung mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Wahrnehmungsbonus entspricht."
socialite,Socialite,Gesellschaftsmensch,socialite.png,"Fellowship, Agility, Intelligence, Social, Fieldcraf","A socialite is a charismatic and influential individual, thriving in high society and social gatherings. Skilled in etiquette, conversation, and building networks, they use their charm and connections to navigate political, cultural, or economic landscapes, often advancing their own or their faction's interests.","Ein Gesellschaftsmensch ist eine charismatische und einflussreiche Persönlichkeit, die in der High Society und bei gesellschaftlichen Anlässen glänzt. Versiert in Etikette, Konversation und dem Aufbau von Netzwerken, nutzt er seinen Charme und seine Verbindungen, um politische, kulturelle oder wirtschaftliche Landschaften zu durchqueren und dabei oft die eigenen oder die Interessen seiner Fraktion voranzutreiben.",Clues from the Crowd or Keen Intuition,Charming Blather,"In addition to the normal uses of Fate Points, a Socialite character may spend a Fate Point to automatically pass a Fellowship or Fellowship-based skill test with a number of degrees of success equal to his Fellowship Bonus.",Charmantes Geschwätz,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Gesellschaftsmensch einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Einfluss oder eine auf Einfluss basierende Fertigkeit mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Einflussbonus entspricht."
steward,Steward,Verwalter,steward.png,"Social or Knowledge, Fellowship, Perception, Intelligence, Finesse","A steward is a dedicated administrator and caretaker, responsible for managing resources, overseeing operations, and ensuring the smooth functioning of estates, organizations, or voidships. Skilled in logistics, leadership, and diplomacy, they act as the backbone of their domain, balancing the needs of those they serve with the demands of their duty.","Ein Verwalter ist ein engagierter Administrator und Betreuer, verantwortlich für die Verwaltung von Ressourcen, die Überwachung von Abläufen und die Gewährleistung des reibungslosen Betriebs von Gütern, Organisationen oder Raumschiffen. Versiert in Logistik, Führung und Diplomatie, bilden sie das Rückgrat ihres Zuständigkeitsbereichs und balancieren die Bedürfnisse derer, denen sie dienen, mit den Anforderungen ihrer Aufgabe aus.",Ambassador Imperialis or Contact Network,Master of Ceremonies,"In addition to the normal use of Fate Points, a Seneschal character may spend a Fate point to automatically succeed at a Linguistics, Commerce or any Trade skill test with a number of degrees of success equal to his Intelligence Bonus.",Meister der Zeremonien,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Seneschall-Charakter einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Linguistik, Handel oder einer beliebigen Handwerksfertigkeit mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Intelligenzbonus entspricht."
trader,Trader,Händler,trader.png," Intelligence, Fellowship, Agility or Ballistic Skill, Social, Fieldcraf","A trader is a shrewd negotiator and entrepreneur skilled in the exchange of goods, resources, and services. Whether operating in bustling marketplaces or traversing the vast expanse of the void, they rely on their charm, knowledge, and business acumen to secure profitable deals and expand their influence.","Ein Händler ist ein gewiefter Verhandlungsführer und Unternehmer, der sich auf den Austausch von Waren, Ressourcen und Dienstleistungen spezialisiert hat. Ob auf belebten Märkten oder in den Weiten des Alls, sie verlassen sich auf ihren Charme, ihr Wissen und ihre Geschäftstüchtigkeit, um profitable Geschäfte abzuschließen und ihren Einfluss zu erweitern.",Hard Bargain or Contact Network,Merchant Magnate,"In addition to the normal uses of Fate points, when a Trader character fails a Commerce, Inquiry or Acquisition test, he can spend a Fate point to automatically succeed with the degrees of success equal to his Fellowship bonus. This can be done only once per session, with the exception of Commerce. However, when making an Acquisition the modified score can’t be 10 or lower.",Handelsmagnat,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Händler-Charakter, wenn er eine Fertigkeitsprobe in Handel, Nachforschung oder Erwerb nicht besteht, einen Schicksalspunkt ausgeben, um automatisch zu bestehen, mit einer Anzahl von Erfolgsgraden, die seinem Einflussbonus entspricht. Dies kann nur einmal pro Sitzung durchgeführt werden, mit Ausnahme von Handel. Bei einem Erwerb darf der modifizierte Wert jedoch nicht 10 oder weniger betragen."
warrior,Warrior,Krieger,warrior.png,"Ballistic Skill, Defense, Offence, Strength, Weapon Skill","A warrior is a trained combatant, skilled in the art of battle and dedicated to fighting for a cause, survival, or conquest. Whether wielding a blade, a gun, or their own fists, warriors rely on discipline, strength, and strategy to overcome their enemies and achieve victory on the battlefield.","Ein Krieger ist ein ausgebildeter Kämpfer, der die Kunst des Kampfes beherrscht und für eine Sache, das Überleben oder die Eroberung kämpft. Ob mit Klinge, Gewehr oder bloßen Fäusten, Krieger verlassen sich auf Disziplin, Stärke und Strategie, um ihre Feinde zu überwinden und auf dem Schlachtfeld zu triumphieren.",Iron Jaw or Rapid Reload,Expert at Violence,"In addition to the normal uses of Fate points, after making a successful attack test, but before determining hits, a Warrior character may spend a Fate point to substitute his Weapon Skill (for melee) or Ballistic Skill (for ranged) bonus for the degrees of success scored on the attack test.",Experte der Gewalt,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Krieger-Charakter nach einer erfolgreichen Angriffsprobe, aber bevor die Treffer bestimmt werden, einen Schicksalspunkt ausgeben, um seinen Waffenfertigkeitsbonus (für Nahkampf) oder Ballistikfertigkeitsbonus (für Fernkampf) anstelle der erzielten Erfolgsgrade der Angriffsprobe zu verwenden."
